Using device: cuda:0
Found 167805 images belonging to 6563 classes.
Character map already exists, skipping creation.
Train samples: 134244
Val samples: 33561
Training log will be saved to: output/logs/lr_0.0005_bs_16/train.log
Model artifacts will be saved to: output/models/lr_0.0005_bs_16
Total parameters: 36955619
Trainable parameters: 28412323

Epoch 1/50
----------
  Batch 50/8391, Loss: 8.7367
  Batch 100/8391, Loss: 8.6255
  Batch 150/8391, Loss: 8.5222
  Batch 200/8391, Loss: 8.8919
  Batch 250/8391, Loss: 8.4776
  Batch 300/8391, Loss: 8.2440
  Batch 350/8391, Loss: 8.4290
  Batch 400/8391, Loss: 8.6366
  Batch 450/8391, Loss: 8.2124
  Batch 500/8391, Loss: 8.3666
  Batch 550/8391, Loss: 8.7126
  Batch 600/8391, Loss: 8.2587
  Batch 650/8391, Loss: 8.1682
  Batch 700/8391, Loss: 8.3989
  Batch 750/8391, Loss: 8.3289
  Batch 800/8391, Loss: 8.4036
  Batch 850/8391, Loss: 8.7035
  Batch 900/8391, Loss: 8.6318
  Batch 950/8391, Loss: 8.6239
  Batch 1000/8391, Loss: 8.3586
  Batch 1050/8391, Loss: 8.4834
  Batch 1100/8391, Loss: 8.5217
  Batch 1150/8391, Loss: 8.3086
  Batch 1200/8391, Loss: 8.4540
  Batch 1250/8391, Loss: 8.1493
  Batch 1300/8391, Loss: 8.0502
  Batch 1350/8391, Loss: 8.0798
  Batch 1400/8391, Loss: 8.1253
  Batch 1450/8391, Loss: 8.1756
  Batch 1500/8391, Loss: 8.4853
  Batch 1550/8391, Loss: 8.0543
  Batch 1600/8391, Loss: 8.1524
  Batch 1650/8391, Loss: 8.4245
  Batch 1700/8391, Loss: 8.2442
  Batch 1750/8391, Loss: 8.2804
  Batch 1800/8391, Loss: 7.9936
  Batch 1850/8391, Loss: 8.4319
  Batch 1900/8391, Loss: 8.2467
  Batch 1950/8391, Loss: 8.5115
  Batch 2000/8391, Loss: 8.4757
  Batch 2050/8391, Loss: 7.8855
  Batch 2100/8391, Loss: 7.9141
