Using device: cuda:0
Found 167805 images belonging to 6563 classes.
Character map saved to char_map.json
Train samples: 134244
Val samples: 33561
Training log will be saved to: output/logs/lr_0.01_bs_32/train.log
Model artifacts will be saved to: output/models/lr_0.01_bs_32
Total parameters: 36955619
Trainable parameters: 28412323

Epoch 1/50
----------
  Batch 50/4196, Loss: 8.5728
  Batch 100/4196, Loss: 8.6319
  Batch 150/4196, Loss: 8.7920
  Batch 200/4196, Loss: 8.6118
  Batch 250/4196, Loss: 8.4215
  Batch 300/4196, Loss: 8.5870
  Batch 350/4196, Loss: 8.5330
  Batch 400/4196, Loss: 8.3632
  Batch 450/4196, Loss: 8.1013
  Batch 500/4196, Loss: 8.4272
  Batch 550/4196, Loss: 8.6651
  Batch 600/4196, Loss: 8.1541
  Batch 650/4196, Loss: 8.4776
  Batch 700/4196, Loss: 8.5442
  Batch 750/4196, Loss: 8.5827
  Batch 800/4196, Loss: 8.7048
  Batch 850/4196, Loss: 8.2737
  Batch 900/4196, Loss: 8.3819
  Batch 950/4196, Loss: 8.4883
  Batch 1000/4196, Loss: 8.6389
  Batch 1050/4196, Loss: 8.4922
  Batch 1100/4196, Loss: 8.1827
  Batch 1150/4196, Loss: 8.8566
  Batch 1200/4196, Loss: 8.3373
  Batch 1250/4196, Loss: 8.1473
  Batch 1300/4196, Loss: 7.9662
  Batch 1350/4196, Loss: 8.5979
  Batch 1400/4196, Loss: 8.4783
  Batch 1450/4196, Loss: 8.1294
  Batch 1500/4196, Loss: 8.0659
  Batch 1550/4196, Loss: 8.4714
  Batch 1600/4196, Loss: 8.4114
  Batch 1650/4196, Loss: 8.2303
  Batch 1700/4196, Loss: 8.5147
  Batch 1750/4196, Loss: 8.3987
  Batch 1800/4196, Loss: 8.2335
  Batch 1850/4196, Loss: 8.5286
  Batch 1900/4196, Loss: 8.4852
  Batch 1950/4196, Loss: 8.3308
  Batch 2000/4196, Loss: 8.6251
  Batch 2050/4196, Loss: 8.5388
  Batch 2100/4196, Loss: 8.6336
  Batch 2150/4196, Loss: 8.1676
  Batch 2200/4196, Loss: 8.1832
  Batch 2250/4196, Loss: 8.0173
  Batch 2300/4196, Loss: 8.8660
  Batch 2350/4196, Loss: 8.0925
  Batch 2400/4196, Loss: 7.9463
  Batch 2450/4196, Loss: 8.1502
  Batch 2500/4196, Loss: 8.4499
  Batch 2550/4196, Loss: 8.0331
  Batch 2600/4196, Loss: 8.2618
  Batch 2650/4196, Loss: 8.1159
  Batch 2700/4196, Loss: 8.4034
  Batch 2750/4196, Loss: 8.1958
  Batch 2800/4196, Loss: 8.4105
  Batch 2850/4196, Loss: 8.3589
  Batch 2900/4196, Loss: 8.0312
  Batch 2950/4196, Loss: 8.8203
  Batch 3000/4196, Loss: 8.4278
  Batch 3050/4196, Loss: 8.3175
  Batch 3100/4196, Loss: 7.9201
  Batch 3150/4196, Loss: 8.7319
  Batch 3200/4196, Loss: 8.1939
  Batch 3250/4196, Loss: 8.3128
  Batch 3300/4196, Loss: 8.1278
  Batch 3350/4196, Loss: 8.0924
  Batch 3400/4196, Loss: 8.0353
  Batch 3450/4196, Loss: 7.6920
  Batch 3500/4196, Loss: 8.5154
  Batch 3550/4196, Loss: 8.6321
  Batch 3600/4196, Loss: 8.3277
  Batch 3650/4196, Loss: 8.0614
  Batch 3700/4196, Loss: 8.1240
  Batch 3750/4196, Loss: 8.1062
  Batch 3800/4196, Loss: 7.9425
  Batch 3850/4196, Loss: 8.1378
  Batch 3900/4196, Loss: 8.3040
  Batch 3950/4196, Loss: 8.3598
  Batch 4000/4196, Loss: 8.2992
  Batch 4050/4196, Loss: 8.1015
  Batch 4100/4196, Loss: 8.9760
  Batch 4150/4196, Loss: 7.9931
Train Loss: 8.3262 Acc: 0.0019
Val Loss: 10.7515 Acc: 0.0019
Validation inference time: 42.3592s total, 1.2622 ms/sample
Best model saved to output/models/lr_0.01_bs_32/best_model.pth
Best model metrics saved to output/logs/lr_0.01_bs_32/best_model_metrics.json and output/logs/lr_0.01_bs_32/best_model_metrics.txt
Epoch time: 391.84s
Checkpoint saved to output/models/lr_0.01_bs_32/latest_checkpoint.pth

Epoch 2/50
----------
  Batch 50/4196, Loss: 7.9124
  Batch 100/4196, Loss: 7.8324
  Batch 150/4196, Loss: 8.0738
  Batch 200/4196, Loss: 8.1384
  Batch 250/4196, Loss: 7.9022
  Batch 300/4196, Loss: 8.5249
  Batch 350/4196, Loss: 7.7524
  Batch 400/4196, Loss: 7.9912
  Batch 450/4196, Loss: 8.0090
  Batch 500/4196, Loss: 7.9874
  Batch 550/4196, Loss: 7.8618
  Batch 600/4196, Loss: 8.3038
  Batch 650/4196, Loss: 8.1264
  Batch 700/4196, Loss: 7.7188
  Batch 750/4196, Loss: 7.9602
  Batch 800/4196, Loss: 7.7497
  Batch 850/4196, Loss: 7.9101
  Batch 900/4196, Loss: 8.1764
  Batch 950/4196, Loss: 8.4284
